Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,
30/08/2018,ZZP295929,10,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,80.00,202035,11280,,,,
30/08/2018,ZZP295929,11,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,900.00,202035,11280,,,,
30/08/2018,ZZP295929,12,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,780.00,202035,11280,,,,
30/08/2018,ZZP295929,13,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,300.00,202035,11280,,,,
30/08/2018,ZZP295929,14,2100,Lubbe and Sons (Bulbs) Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Landscape Dev-Werneth Ward Open Spaces,200.00,202035,11280,,,,
31/08/2018,ZZP295989,1,628,Life Leisure,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Condition Works on Leisure Centres - Hazel Grove,"6,652.00",200123,C.11508.004,,,,
31/08/2018,ZZP295989,2,628,Life Leisure,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Condition Works on Leisure Centres - Cheadle,"6,652.00",200123,C.11508.003,,,,
07/09/2018,ZZP296359,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Network Assets Staff,"13,200.00",401007,11959,,,,
11/09/2018,ZZP296495,1,13005,AHR BUILDING CONSULTANCY LTD,150000,Consultancy   ,Professional Fees,Capital Expenditure,Gorsey Bank,"10,915.00",401007,C.10905,,,,
11/09/2018,ZZP296494,1,13123,DCM Electrical Installations L,150000,Consultancy   ,Professional Fees,Capital Expenditure,M&U - Produce Hall/Blackshaws,"16,910.00",401007,C.10904.007,,,,
14/09/2018,ZZP296732,1,9192,Calibre,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,"52,575.00",202000,11176,,,,
04/09/2018,ZZP296185,1,13099,ROBERTSON FACILITIES MANAGEMEN,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"21,800.00",401020,12328,,,,
04/09/2018,ZZP296189,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,"11,018.23",202033,11176,,,,
07/09/2018,ZZP296360,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,STCAP 502 M60 Junction 1 Improvements - On Site,"10,751.15",200304,C.00988.203,,,,
05/09/2018,ZZP296233,1,7266,Intelligent Data Systems (UK),270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Premises Licensing,"5,000.00",402000,10915,,,,
06/09/2018,ZZP296273,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Romiley Forum - Refurbishment,"1,821.34",200126,C.11502.068,,,,
06/09/2018,ZZP296273,2,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Romiley Forum - Refurbishment,"3,508.41",200126,C.11502.068,,,,
07/09/2018,ZZP296350,1,628,Life Leisure,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Condition Works on Leisure Centres - Cheadle,"5,400.00",200123,C.11508.003,,,,
08/09/2018,ZZP296378,1,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,562.50,400115,11275,,,,
08/09/2018,ZZP296378,2,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,93.75,400115,11275,,,,
08/09/2018,ZZP296378,3,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,"1,128.75",400115,11275,,,,
08/09/2018,ZZP296378,4,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,990.00,400115,11275,,,,
08/09/2018,ZZP296378,5,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,450.00,400115,11275,,,,
08/09/2018,ZZP296378,6,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,233.75,400115,11275,,,,
08/09/2018,ZZP296378,7,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,425.00,400115,11275,,,,
08/09/2018,ZZP296378,8,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,75.00,400115,11275,,,,
08/09/2018,ZZP296378,9,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,337.50,400115,11275,,,,
08/09/2018,ZZP296378,10,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,475.00,400115,11275,,,,
08/09/2018,ZZP296378,11,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,105.00,400115,11275,,,,
08/09/2018,ZZP296378,12,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,SPECIAL PROJECT 9,280.00,400115,11275,,,,
08/09/2018,ZZP296377,1,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,640.00,400115,C.01194.203,,,,
08/09/2018,ZZP296377,2,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,"1,181.25",400115,C.01194.203,,,,
08/09/2018,ZZP296377,3,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,56.25,400115,C.01194.203,,,,
08/09/2018,ZZP296377,4,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,"1,100.00",400115,C.01194.203,,,,
08/09/2018,ZZP296377,5,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,"1,012.50",400115,C.01194.203,,,,
08/09/2018,ZZP296377,6,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,822.50,400115,C.01194.203,,,,
08/09/2018,ZZP296377,7,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,680.00,400115,C.01194.203,,,,
08/09/2018,ZZP296377,8,7589,CHESHIRE NURSERIES,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Capital Expenditure,Highway Replacement Tree Planting 2017-20 - On Sit,680.00,400115,C.01194.203,,,,
10/09/2018,ZZP296441,1,13116,Mazars LLP,201100,Financial Services Audit ,Professional Fees,Corporate and Support Services,U-Misc Finance-Corporate Management,"97,119.00",401003,10971,,,,
10/09/2018,ZZP296453,1,8395,Amey Metering Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"5,000.00",401020,12328,,,,
11/09/2018,ZZP296558,1,3529,Totally Local Company Ltd,391114,"Works - Construction, Repair & Maintenance Buildings Surveys",Capital Expenditure - Fees,Capital Expenditure,STCAP Higher Hillgate/Shawcross Street - On Site,"9,667.24",200316,C.00936.203,,,,
11/09/2018,ZZP296557,1,5835,Virgin Media Access Network Pl,230000,Highway Equipment & Materials    ,Highways Maintenance,Capital Expenditure,5083 Cheadle & Marple College S278 - Design,"12,469.52",202055,C.01140.202,,,,
11/09/2018,ZZP296556,1,2025,BT Plc (Openreach),230000,Highway Equipment & Materials    ,Highways Maintenance,Capital Expenditure,5083 Cheadle & Marple College S278 - Design,"46,765.55",202055,C.01140.202,,,,
14/09/2018,ZZP296715,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Enterprise House - Basement,"5,258.00",200311,C.11501.051,,,,
17/09/2018,ZZP296887,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Capital Expenditure,ST048 GD3 Business Case - Merseyway Refurbishment,"10,145.20",401007,C.01179.201,,,,
17/09/2018,ZZP296906,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Buildings Team,"10,145.20",401007,11961,,,,
17/09/2018,ZZP296822,1,2628,North West Employers,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Corporate and Support Services,Legal Services,"5,905.00",500605,11117,,,,
18/09/2018,ZZP296914,1,9344,Karen Allerton,390000,"Works - Construction, Repair & Maintenance  ",Signage,Services to Place,Frank Bramwell Legacy,"6,000.00",201205,11170,,,,
17/09/2018,ZZP296873,1,9608,Calibre Metal Work Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,"52,575.00",202000,11176,,,,
18/09/2018,ZZP296927,1,13154,Amey OW Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"5,000.00",401020,12328,,,,
18/09/2018,ZZP296928,1,13154,Amey OW Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"5,000.00",401020,12328,,,,
18/09/2018,ZZP296939,1,223,Groundwork Landscapes Ltd,240000,Horticultural  ,Grounds Maintenance,Capital Expenditure,Brinnington Mitigation - Brinnington Park Improvem,"152,681.19",202032,C.10925,,,,
19/09/2018,ZZP296987,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,Capital Expenditure,STCAP 402 Knightsbridge and Great Portwood St - On,"157,575.09",401600,C.00987.203,,,,
19/09/2018,ZZP297017,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Capital Expenditure,Main Contractor DD - Design,"11,239.50",401007,C.00880.202,,,,
24/09/2018,ZZP297250,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,ECS-Buildings Team,"10,041.49",401600,11961,,,,
19/09/2018,ZZP297016,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,5105 Man Diesel Footpath Improvements S278 - On si,"7,428.01",200304,C.01191.203,,,,
20/09/2018,ZZP297049,1,7861,Stockport District CAB,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Corporate and Support Services,"Information, Advice & Guidance","5,604.71",402403,13006,,,,
20/09/2018,ZZP297063,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,5105 Man Diesel Footpath Improvements S278 - On si,"37,523.60",200304,C.01191.203,,,,
20/09/2018,ZZP297070,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Design Framework Staff,"11,040.00",401020,11965,,,,
21/09/2018,ZZP297088,1,1900,Broxap Ltd,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,Public Realm Inspection,"8,112.00",201202,10879,,,,
25/09/2018,ZZP297285,1,10796,Eamonn Murphy,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to Place,CREWE - MANCHESTER RAIL PARTNERSHIP,"1,750.00",400110,10083,,,,
25/09/2018,ZZP297285,2,10796,Eamonn Murphy,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Services to Place,CREWE - MANCHESTER RAIL PARTNERSHIP,"9,500.00",400110,10083,,,,
21/09/2018,ZZP297138,1,13173,Mickledore Ltd,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Economic Development,"14,790.00",401801,10103,,,,
24/09/2018,ZZP297191,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Capital Expenditure,5111 Handforth Developments - Feasibility,"18,258.00",401007,C.01229.201,,,,
24/09/2018,ZZP297170,1,3738,Open Text UKLtd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,"100,199.08",402002,12503,,,,
24/09/2018,ZZP297172,1,13154,Amey OW Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"8,750.00",401020,12328,,,,
24/09/2018,ZZP297213,1,10780,Permicoat Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - Refurbishment 18/19,"55,920.00",200311,C.11502.086,,,,
26/09/2018,ZZP297397,1,3529,Totally Local Company Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Area East-Brabyns Park,"5,797.46",202033,11176,,,,
25/09/2018,ZZP297283,1,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"15,813.25",200304,C.01189.201,,,,
25/09/2018,ZZP297283,2,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"11,400.25",200304,C.01189.201,,,,
25/09/2018,ZZP297283,3,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"29,486.58",200304,C.01189.201,,,,
25/09/2018,ZZP297283,4,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"11,158.56",200304,C.01189.201,,,,
25/09/2018,ZZP297283,5,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"8,368.92",200304,C.01189.201,,,,
25/09/2018,ZZP297283,6,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"43,923.10",200304,C.01189.201,,,,
25/09/2018,ZZP297283,7,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"3,508.65",200304,C.01189.201,,,,
25/09/2018,ZZP297283,8,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"1,620.99",200304,C.01189.201,,,,
25/09/2018,ZZP297283,9,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"3,768.55",200304,C.01189.201,,,,
25/09/2018,ZZP297283,10,82,Marwood Electrical Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0262 CCAG2 - Cycle Parking - Feasibility,"1,559.40",200304,C.01189.201,,,,
25/09/2018,ZZP297364,1,12193,Greater Manchester Combined Au,230000,Highway Equipment & Materials    ,Highways Maintenance,Capital Expenditure,STCAP 801 Travis Brow/ A6 Link and George’s Rd - O,"289,000.00",202054,C.00996.203,,,,
25/09/2018,ZZP297320,1,3104,Image Everything Limited,190000,Facilities & Management Services  ,Publicity and Promotion,Corporate and Support Services,POD Printing,"5,328.00",401800,11064,,,,
25/09/2018,ZZP297350,1,10841,Whistl UK Limited,300000,Mail Services   ,Office Expenses,Corporate and Support Services,Mailroom Service,"50,000.00",400711,11152,,,,
26/09/2018,ZZP297380,1,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,180.33,400110,11418,,,,
26/09/2018,ZZP297380,2,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,76.85,400110,11418,,,,
26/09/2018,ZZP297380,3,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,"3,150.68",400110,11418,,,,
26/09/2018,ZZP297380,4,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,29.70,400110,11418,,,,
26/09/2018,ZZP297380,5,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,307.38,400110,11418,,,,
26/09/2018,ZZP297380,6,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,"1,847.06",400110,11418,,,,
26/09/2018,ZZP297380,7,13177,Trustmarque Solutions Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C Schools Email & Internet,"1,500.00",400110,11418,,,,
26/09/2018,ZZP297376,1,3290,Royal Mail,300000,Mail Services   ,Office Expenses,Corporate and Support Services,Mailroom Service,"17,500.00",400711,11152,,,,
26/09/2018,ZZP297427,1,3529,Totally Local Company Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,0255H CCAG2 - Bramhall Park - On Site,"16,430.00",200304,C.01222.203,,,,
28/09/2018,ZZP650022,1,5464,ELECTRICITY NORTH WEST LIMITED,230000,Highway Equipment & Materials    ,Highways Maintenance,Capital Expenditure,5078 Astley St/Swaine St - TFGM Mersey Bridge - On,"8,347.38",202055,C.01121.203,,,,
30/09/2018,ZZP650078,1,8817,AECOM Infrastructure & Environ,150000,Consultancy   ,Professional Fees,Capital Expenditure,Principal Inspections - Feasibility,"48,187.25",401007,C.00620.201,,,,
10/07/2018,ZZP293523,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Bramall Hall Phase 2 – Capital Works,"9,408.18",200123,C.10899.001,,,,
02/08/2018,ZZP294808,1,3239,ARC,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"20,000.00",401801,11384,,,,
03/09/2018,ZZP296032,1,13114,Our Stories Heritge Consultanc,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"3,750.00",401801,11384,,,,
03/09/2018,ZZP296032,2,13114,Our Stories Heritge Consultanc,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"3,750.00",401801,11384,,,,
03/09/2018,ZZP296032,3,13114,Our Stories Heritge Consultanc,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"3,750.00",401801,11384,,,,
03/09/2018,ZZP296032,4,13114,Our Stories Heritge Consultanc,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"3,750.00",401801,11384,,,,
07/09/2018,ZZP296351,1,2157,Fiona Smith,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"2,000.00",401801,11384,,,,
07/09/2018,ZZP296351,2,2157,Fiona Smith,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"2,000.00",401801,11384,,,,
07/09/2018,ZZP296351,3,2157,Fiona Smith,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"2,000.00",401801,11384,,,,
07/09/2018,ZZP296351,4,2157,Fiona Smith,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Arts Development,"4,000.00",401801,11384,,,,
09/07/2018,ZTR293482,1,12445,Barbour Logic Ltd,200000,Financial Services  ,Fees and Charges,Services to Place,Car Parks Administration,"9,200.00",402401,10005,,,,
11/07/2018,ZFC293602,1,13007,Arc Elevators Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Corporate Buildings - Lift upgrade programme,"62,080.00",200311,C.11501.046,,,,
18/07/2018,ZFC293976,1,8832,Safe and Secure Solutions Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,School Closure Costs - Primary,"20,000.00",200160,10463,,,,
23/07/2018,ZFC294189,1,6827,PLP Construction,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Stopford House - Canteen Refurbishment,"211,595.00",200311,C.11510,,,,
31/07/2018,ZFC294669,1,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,"8,300.00",201607,11662,,,,
31/07/2018,ZFC294669,2,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,500.00,201607,11662,,,,
31/07/2018,ZFC294669,3,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,700.00,201607,11662,,,,
08/08/2018,ZFC295035,1,13007,Arc Elevators Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,"69,480.00",200311,C.11507.003,,,,
20/08/2018,ZFC295492,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Alexandra Park Prim Boiler Refurbishment,"76,758.00",200311,C.10293.115,,,,
20/08/2018,ZFC295491,1,13069,W H Good Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Cheadle Heath Prim - Boiler,"119,857.00",200311,C.10314.125,,,,
20/08/2018,ZFC295490,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Lisburne Spec. Sch. At Hollywood Park(Phase 2),"209,521.00",200311,C.10423.169,,,,
03/09/2018,ZFC296052,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Didsbury Rd Prim. Mechanical & Electrical Improvem,"920,980.00",200311,C.10317.170,,,,
03/09/2018,ZFC296050,1,7650,Liquid Roofing Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Hursthead Infant ROOF,"337,522.58",200311,C.10329.109,,,,
03/09/2018,ZFC296049,1,6827,PLP Construction,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Stopford House - Server Room Data Centre Relocatio,"257,768.00",200311,C.11502.027,,,,
03/09/2018,ZFC296048,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"85,719.81",200311,C.11502.071,,,,
03/09/2018,ZFC296047,1,5788,DESIGNED ROOF SYSTEMS LTD,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Banks Lane Jnr Roof,"582,705.00",200311,C.10297.188,,,,
03/09/2018,ZFC296046,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Great Moor Jnr PSBP2 Kitchen/Dining Room,"827,739.00",200311,C.10324.195,,,,
17/09/2018,ZFC296852,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Capital Expenditure,Stopford House Car Park - general improvements,"11,000.00",200121,C.11503.013,,,,
04/07/2018,ZES293261,1,12608,Liquidlogic Limited,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,T ASC Software Replacement,"20,016.00",402002,12958,,,,
02/07/2018,ZES293077,1,6281,SUDLOWS,270000,Information Communication Technology  ,Information and Communications Technology,Capital Expenditure,Stopford House - Canteen Refurbishment,"13,167.59",402001,C.11510,,,,
04/07/2018,ZES293269,1,7563,Satisnet Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"9,918.30",402002,11324,,,,
06/07/2018,ZES293422,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,SPB- Property Client Account,"4,814.60",402001,11137,,,,
06/07/2018,ZES293422,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,SPB- Property Client Account,35.00,402001,11137,,,,
06/07/2018,ZES293422,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,SPB- Property Client Account,35.00,402001,11137,,,,
06/07/2018,ZES293422,4,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,SPB- Property Client Account,776.60,402001,11137,,,,
06/07/2018,ZES293422,5,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,SPB- Property Client Account,106.40,402001,11137,,,,
23/07/2018,ZES294218,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,RAA Adoption Count,"7,136.80",402001,12957,,,,
23/07/2018,ZES294218,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,RAA Adoption Count,35.00,402001,12957,,,,
23/07/2018,ZES294218,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,RAA Adoption Count,35.00,402001,12957,,,,
08/08/2018,ZES295052,1,9441,Softcat Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"7,993.92",402002,11324,,,,
30/08/2018,ZES295904,1,5814,Prosperon Networks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"19,002.00",402002,11324,,,,
31/08/2018,ZES296013,1,5740,ANS Group Plc,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Infrastructure,"6,534.29",402002,11324,,,,
31/08/2018,ZES296008,1,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,"487,031.13",402002,12503,,,,
31/08/2018,ZES296008,2,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,94.53,402002,12503,,,,
31/08/2018,ZES296008,3,544,Phoenix Software Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,"131,491.13",402002,12503,,,,
19/09/2018,ZES296997,1,2927,XMA Ltd,171113,Education Library Books ,Library Equipment,Corporate and Support Services,POD Core Staffing,"6,690.06",400201,12590,,,,
19/09/2018,ZES296997,2,2927,XMA Ltd,171113,Education Library Books ,Library Equipment,Corporate and Support Services,POD Core Staffing,45.50,400201,12590,,,,
